,hardware_model,instrument_name,serial_numbers,transmit_frequency,phased_array,cruise_beg_date,blanking_interval,bin_length,transducer_beam_angle,transmit_pulse_length,comments,bw_from_comments,bw_from_hardware_model,bw_from_transmit_frequency,bandwidth
1496,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-03-23 03:10:09.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1497,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-03-23 03:10:18.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the///Only 3 water tracks for this Cruise: not enough to monitor.",,,narrowband,narrowband
1498,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-04-09 04:08:54.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1499,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-04-09 04:08:57.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the",,,narrowband,narrowband
1500,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-04-28 05:57:02.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1501,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-04-28 05:57:04.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the",,,narrowband,narrowband
1502,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-05-29 07:11:10.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1503,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-05-29 07:11:23.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the",,,narrowband,narrowband
1504,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-06-25 06:42:53.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///No gyrocompass for about 30 minutes.///Single pings are QC'd then averaged to///No usual navigation was available for about 20 minutes.///In August 2000, a sound velocity probe (SVP)",,,,
1505,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-06-25 06:43:06.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///No gyrocompass for about 30 minutes.///Single pings are QC'd then averaged to///The os38 temperature probe at the///No usual navigation was available for about 20 minutes.",,,narrowband,narrowband
1506,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-07-14 06:22:57.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///Backward time offsets occurred due to///Ashtech had several gaps of up to two days.///In August 2000, a sound velocity probe (SVP)",,,,
1507,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-07-14 06:23:08.999999998,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the///Backward time offsets occurred due to///Ashtech had several gaps of up to two days.",,,narrowband,narrowband
1508,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-08-14 02:29:08.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1509,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-08-14 02:29:11.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the",,,narrowband,narrowband
1510,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-09-15 02:28:44.999999996,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1511,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-09-15 02:28:47.000000000,16 m,24 m,30 degrees,24 m,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the///Only 3 water tracks for this cruise:",,,narrowband,narrowband
1512,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-10-16 02:56:07.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
1513,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-10-16 02:56:22.000000000,16,24,30 degrees,24,"phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///Single pings are QC'd then averaged to///The os38 temperature probe at the",,,narrowband,narrowband
1514,Ocean Surveyer 150,OS-150,,150kHz narrowband,phased array,2011-08-15 17:34:00.000000000,7 m,4 m,30 degrees,4m,"phased array;///Heading offset 28.4 degrees///single pings are QC'ed then averaged///HEALY has the following GPS receivers: GPS, DGPS, P-Code GPS, and 3-D GPS",,,narrowband,narrowband
1515,Ocean Surveyer 75,OS-75,,75 kHz narrowband,phased array,2011-08-15 17:34:00.000000000,8 m,16 m,30 degrees,16 m,"phased array;///Heading offset 43.4 degrees///single pings are QC'ed then averaged///HEALY has the following GPS receivers: GPS, DGPS, P-Code GPS, and 3-D GPS",,,narrowband,narrowband
1516,Ocean Surveyor 75,OS-75,,75 kHz,,2012-04-17 00:04:34.000000000,8 m,8 m,,8 m,broadband mode///single-ping data files QC'ed then averaged///original heading offset: 66.9 deg; additional rotation -0.05 deg///(none),broadband,,,broadband
1517,Ocean Surveyor 75,OS-75,,75 kHz,,2012-04-17 00:04:34.000000000,8 m,16 m,,16 m,narrowband mode///single-ping data files QC'ed then averaged///original heading offset: 66.9 deg; additional rotation 0.06 deg///(none),narrowband,,,narrowband
1518,WorkHorse 300,Workhorse-300,,300kHz,,2012-04-17 00:00:32.000000000,2 m,4 m,,4 m,single-ping data files QC'ed then averaged///- on-station grunge at the surface///original heading offset: 28.15 deg; additional rotation -.05 deg///- on-station grunge at the surface,,,,
1519,Ocean Surveyor 75,OS-75,,75 kHz,,2012-03-24 13:39:32.000000000,8 m,8 m,,8 m,broadband mode///single-ping data files QC'ed then averaged///original heading offset: 66.9 deg; additional rotation -0.05 deg,broadband,,,broadband
1520,Ocean Surveyor 75,OS-75,,75 kHz,,2012-03-24 13:39:32.000000000,8 m,16 m,,16 m,narrowband mode///single-ping data files QC'ed then averaged///original heading offset: 66.9 deg; additional rotation 0.06 deg///(none),narrowband,,,narrowband
1521,WorkHorse 300,Workhorse-300,,300kHz,,2012-03-24 13:36:32.000000000,2 m,4 m,,4 m,single-ping data files QC'ed then averaged///- on-station grunge at the surface///original heading offset: 28.15 deg; additional rotation -.05 deg///- on-station grunge at the surface,,,,
1522,VM-150 Narrowband,VM-150,,,phased array,2011-05-10 07:21:45.000000000,16m,8m,,8m,"original heading alignment:45.58///single pings are QC'ed then averaged///sound speed correction///Apparently there is a horizontal offset between///speed of sound corrected using soundspeed sensor,///Apparently there is a horizontal offset between",,narrowband,,narrowband
1523,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2011-05-10 07:21:49.000000000,16m,24m,30 degrees,24m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///sound speed correction; some underway bias in upper bins///- some underway bias in upper bins,,,narrowband,narrowband
1524,VM-150 Narrowband,VM-150,,,phased array,2011-09-05 08:59:37.000000000,16m,8m,,8m,"original heading alignment:45.58///single pings are QC'ed then averaged///sound speed correction///speed of sound corrected using soundspeed sensor,///Apparently there is a horizontal offset between",,narrowband,,narrowband
1525,Ocean Surveyer 38,OS-38,,38kHz broadband,phased array///phased array,2011-09-05 08:59:38.000000000,16m,12m,30 degrees,13m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///sound speed correction; some underway bias in upper bins///- some underway bias in upper bins,,,broadband,broadband
1526,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2011-09-06 09:44:48.000000000,16m,24m,30 degrees,24m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///sound speed correction; some underway bias in upper bins///- some underway bias in upper bins,,,narrowband,narrowband
1527,VM-150 Narrowband,VM-150,,,phased array,2011-09-18 11:43:24.000000000,16m,8m,,8m,original heading alignment:45.58///single pings are QC'ed then averaged///sound speed correction; lots of ice///lots of ice,,narrowband,,narrowband
1528,Ocean Surveyer 38,OS-38,,38kHz broadband,phased array///phased array,2011-09-18 11:43:23.000000000,16m,12m,30 degrees,13m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///sound speed correction;///really bad coverage in ice;,,,broadband,broadband
1529,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2011-09-18 11:43:23.000000000,16m,24m,30 degrees,24m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///sound speed correction;///really bad coverage in ice;,,,narrowband,narrowband
1530,VM-150 Narrowband,VM-150,,,phased array,2011-12-25 02:20:31.000000000,16m,8m,,8m,original heading alignment:45.58///single pings are QC'ed then averaged///sound speed correction///364.6-364.8 -- big scattering patch with velocities,,narrowband,,narrowband
1531,Ocean Surveyer 38,OS-38,,38kHz broadband,phased array///phased array,2011-12-25 02:20:36.000000000,16m,12m,30 degrees,13m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///dday 372.55-373: previous ping interference///dday 372.55-373: previous ping interference,,,broadband,broadband
1532,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2011-12-25 02:20:36.000000000,16m,24m,30 degrees,24m,"phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///bad underway bias, but not as bad as os38bb///bad underway bias, but not as bad as os38bb",,,narrowband,narrowband
1533,VM-150 Narrowband,VM-150,,,phased array,2012-02-11 02:40:43.000000000,16m,8m,,8m,original heading alignment:45.58///single pings are QC'ed then averaged///small gap in seapath///small gap in seapath,,narrowband,,narrowband
1534,Ocean Surveyer 38,OS-38,,38kHz broadband,phased array///phased array,2012-02-11 02:40:44.000000000,16m,12m,30 degrees,13m,"phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///underway bias, top 4 bins deleted///underway bias, top 4 bins.",,,broadband,broadband
1535,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2012-02-14 19:28:22.000000000,16m,24m,30 degrees,24m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///small gap in seapath; interpolated;///small gap in seapath; interpolated,,,narrowband,narrowband
1536,VM-150 Narrowband,VM-150,,,phased array,2012-03-13 20:34:30.000000000,16m,8m,,8m,original heading alignment:45.58///single pings are QC'ed then averaged///new ship-speed calculation applied,,narrowband,,narrowband
1537,Ocean Surveyer 38,OS-38,,38kHz broadband,phased array///phased array,2012-03-13 20:34:35.000000000,16m,12m,30 degrees,13m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///special (tighter) single-ping cutoffs applied///special (tighter) single-ping cutoffs applied,,,broadband,broadband
1538,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array,2012-03-13 20:34:35.000000000,16m,24m,30 degrees,24m,phased array///original heading alignment: 44.64///single pings are QC'ed then averaged///special (tighter) single-ping cutoffs applied///special (tighter) single-ping cutoffs applied,,,narrowband,narrowband
1539,Ocean Surveyor 75,OS-75,,75 kHz,,2007-07-02 15:58:23.000000000,12 m,16 m,,16 m,"narrowband mode///original alignment 67.26 degrees///single pings are QC'ed then averaged///""computer lab gyro feed"" was actually the phins///1. ""computer lab gyro feed"" was actually the phins",narrowband,,,narrowband
1540,Ocean Surveyor 75,OS-75,,75 kHz,,2010-03-07 17:38:49.000000000,8 m,16 m,,16 m,narrowband mode///original alignment 66.9 degrees///single pings are QC'ed then averaged///ho heading correction: phins was coming in the gyro port.,narrowband,,,narrowband
1541,Ocean Surveyor 75,OS-75,,75 kHz,,2010-03-15 16:04:16.000000000,8 m,16 m,,16 m,narrowband mode///original alignment 66.9 degrees///single pings are QC'ed then averaged///no heading correction: phins was coming in the gyro port.,narrowband,,,narrowband
1542,Ocean Surveyor 75,OS-75,,75 kHz,,2010-04-16 20:27:31.000000000,8 m,16 m,,16 m,narrowband mode///original alignment 66.9 degrees///single pings are QC'ed then averaged///ho heading correction: phins was coming in the gyro port.,narrowband,,,narrowband
1543,Ocean Surveyor 75 broadband,OS-75,,75 kHz,,2009-05-22 13:36:49.000000000,8m,8m,,8m,single-ping data files QC'ed then averaged,,broadband,,broadband
1544,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-05-22 13:36:49.000000000,8m,16m,,16m,heading offset 45.08 deg///single-ping data files QC'ed then averaged,,narrowband,,narrowband
1545,WorkHorse 300,Workhorse-300,,300kHz,,2009-05-22 13:33:40.000000000,4m,4m,,4m,heading offset 45.07 deg///single-ping data files QC'ed then averaged,,,,
1546,Ocean Surveyer 38,OS-38,,38kHz,,2004-04-06 20:47:54.000000000,16 m,12 m,30 degrees,13 m,This is the ADCP data from Broadband mode///broadband mode///Broadband mode///single-ping data files QC'ed then averaged///OK,broadband,,,broadband
1547,Ocean Surveyer 38,OS-38,,38kHz,,2004-04-06 20:47:54.000000000,16 m,24 m,30 degrees,24 m,This is the ADCP data from narrowband mode///narrowband mode///narrowband mode///single-ping data files QC'ed then averaged///OK///transit; no watertrack data,narrowband,,,narrowband
1548,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-03-25 20:59:14.999999999,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///No posmv gaps,broadband,,,broadband
1549,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-03-25 20:59:14.999999999,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///No posmv gaps,narrowband,,,narrowband
1550,WorkHorse 300,Workhorse-300,,300kHz,phased array,2008-03-25 20:55:59.000000001,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///No posmv gaps,,,,
1551,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-08-26 00:29:11.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///transit to California,broadband,,,broadband
1552,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-08-26 00:29:17.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///transit to California,narrowband,,,narrowband
1553,WorkHorse 300,Workhorse-300,,300kHz,phased array,2008-08-26 00:26:01.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK,,,,
1554,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-09-08 15:09:38.000000000,16 m,12 m,30 degrees,13 m,very shallow depths throughout the cruise///broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///very shallow,broadband,,,broadband
1555,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-09-08 15:09:38.000000000,16 m,24 m,30 degrees,24 m,very shallow depths throughout the cruise///narrowband///single-ping data files QC'ed then averaged///OK,narrowband,,,narrowband
1556,WorkHorse 300,Workhorse-300,,300kHz,phased array,2008-09-08 15:06:28.000000000,4 m,4 m,30 degrees,4 m,very shallow depths throughout the cruise///single-ping data files QC'ed then averaged///OK///one wierd subsurface anomaly at,,,,
1557,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-09-25 14:33:05.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///transit to California,broadband,,,broadband
1558,Ocean Surveyer 38,OS-38,,38kHz,phased array,2008-09-25 14:33:11.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///transit from California,narrowband,,,narrowband
1559,WorkHorse 300,Workhorse-300,,300kHz,phased array,2008-09-25 14:29:55.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK,,,,
1560,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-01-30 17:46:23.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///gaps in heading correction?,broadband,,,broadband
1561,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-01-30 17:46:23.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK,narrowband,,,narrowband
1562,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-01-30 17:43:13.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///all good,,,,
1563,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-02-01 16:08:25.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///transit was used for experimentation.,broadband,,,broadband
1564,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-02-01 16:08:25.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///transit was used for experimentation.,narrowband,,,narrowband
1565,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-02-01 16:05:14.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///transit was used for experimentation.,,,,
1566,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-02-20 18:25:21.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///small posmv gap; interpolated,broadband,,,broadband
1567,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-02-20 18:25:30.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///short gap in posmv; patched by interpolation,narrowband,,,narrowband
1568,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-02-20 18:22:18.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///small posmv gap; interpolated,,,,
1569,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-15 21:26:00.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///all clean,broadband,,,broadband
1570,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-15 21:26:06.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///all clean,narrowband,,,narrowband
1571,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-04-15 21:22:50.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///all clean,,,,
1572,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-29 01:18:48.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///no POSMV gaps,broadband,,,broadband
1573,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-04-29 01:18:54.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///no POSMV gaps,narrowband,,,narrowband
1574,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-04-29 01:15:43.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK///no POSMV gaps,,,,
1575,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-06-29 17:47:17.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK,broadband,,,broadband
1576,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-06-29 20:30:31.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///additional rotation +0.9 - 0.88///OK,narrowband,,,narrowband
1577,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-06-29 17:44:01.000000000,4 m,4 m,30 degrees,4 m,single-ping data files QC'ed then averaged///OK,,,,
1578,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-11-23 19:42:05.000000000,16 m,12 m,30 degrees,13 m,broadband///Broadband mode///single-ping data files QC'ed then averaged///OK///no comments,broadband,,,broadband
1579,Ocean Surveyer 38,OS-38,,38kHz,phased array,2010-11-23 19:42:05.000000000,16 m,24 m,30 degrees,24 m,narrowband///single-ping data files QC'ed then averaged///OK///no comments,narrowband,,,narrowband
1580,WorkHorse 300,Workhorse-300,,300kHz,phased array,2010-11-23 19:38:54.000000000,2 m,2 m,30 degrees,2 m,single-ping data files QC'ed then averaged///OK///no comments,,,,
1581,VM-150 Narrowband,VM-150,,,phased array,2009-05-04 00:13:43.000000000,8 m,8 m,,8 m,single-ping data files QC'ed then averaged,,narrowband,,narrowband
1582,Ocean Surveyor 75 broadband,OS-75,,,phased array,2009-05-21 23:38:46.000000000,16 m,8 m,,8 m,Data only available for end of cruise.///single-ping data files QC'ed then averaged,,broadband,,broadband
1583,Ocean Surveyor 75 narroband,OS-75,,,phased array,2009-05-04 00:13:47.000000000,16 m,16 m,,16 m,single-ping data files QC'ed then averaged,,narrowband,,narrowband
1584,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2009-05-16 20:00:53.000000000,8 m,8 m,,8.33 m,ringing (top bin),,broadband,,broadband
1585,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-05-16 20:00:53.000000000,8,16 m,,16 m,ringing (top bin),,narrowband,,narrowband
1586,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2009-06-12 00:22:46.000000000,8 m,8 m,,8.33 m,ringing (top bin),,broadband,,broadband
1587,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2009-06-12 00:22:46.000000000,8 m,16 m,,16 m,ringing (top bin),,narrowband,,narrowband
1588,Ocean Surveyor 75 Broadband,OS-75,,75 kHz,,2010-01-15 11:34:28.000000000,8 or 16 m,8 m,,8 m,POSMV was out for the first couple of days;///POSMV was out for the first couple of days;,,broadband,,broadband
1589,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2010-01-15 11:34:28.000000000,8 or 16 m,16 m,,16 m,POSMV was out for the first couple of days;///POSMV was out for the first couple of days;,,narrowband,,narrowband
1590,Ocean Surveyor 75 narrowband,OS-75,,75 kHz,,2010-05-03 15:35:06.000000000,16 m,16 m,,16 m,POSMV looks good,,narrowband,,narrowband
1591,RD-VM150 Narrow band,VM-150,,153.6 kHz,,2007-05-07 19:52:39.000000000,16 m,8 m,30 deg.,8 m,,,narrowband,,narrowband
1592,Ocean Surveyor 75,OS-75,,75 kHz,,2009-08-19 19:52:55.000000000,8 m,8 m,,8 m,ping type broadband from interleaved///single-ping data files QC'ed then averaged///The Mark 37 gyro relies on manual latitude///original heading alignment: 22.0///all looks good,broadband,,,broadband
1593,Ocean Surveyor 75,OS-75,,75 kHz,,2009-08-19 19:52:55.000000000,8 m,16 m,,16 m,ping type narrowband from interleaved///single-ping data files QC'ed then averaged///The Mark 37 gyro relies on manual latitude///original heading alignment: 22.0///all looks good,narrowband,,,narrowband
1594,Ocean Surveryor 150,OS-150,,,,2009-11-21 06:00:51.000000004,4 m,8 m,30 deg.,8 m,narrowband mode///The well is///single-ping data files QC'ed then averaged///excellent quality///(1) heading:,narrowband,,,narrowband
1595,Ocean Surveryor 75,OS-75,,,,2009-11-21 06:00:54.000000000,8 m,16 m,30 deg.,16 m,narrowband mode///The well is///single-ping data files QC'ed then averaged///excellent quality///long ashtech gap 330.05-340.2;,narrowband,,,narrowband
1596,Ocean Surveryor 150,OS-150,,,,2010-01-06 21:57:40.000000000,4 m,8 m,30 deg.,8 m,narrowband mode///The well is///single-ping data files QC'ed then averaged///excellent quality///gaps in heading correction,narrowband,,,narrowband
1597,Ocean Surveryor 75,OS-75,,,,2010-01-06 21:57:41.000000000,8 m,16 m,30 deg.,16 m,narrowband mode///The well is///single-ping data files QC'ed then averaged///excellent quality///gaps in heading correction,narrowband,,,narrowband
1598,VM-150 narrowband,VM-150,,,,2010-03-08 17:25:35.000000001,8 m,8 m,,8 m,The orientation of the transducer relative///OK///mahrs could not be used for heading corrections for,,narrowband,,narrowband
1599,VM-150 narrowband,VM-150,,,,2010-04-05 18:16:45.000000000,8 m,8 m,,8 m,The orientation of the transducer relative///OK///mahrs could not be used for heading corrections for,,narrowband,,narrowband
1600,VM-150 narrowband,VM-150,,,,2010-05-17 18:25:00.000000000,8 m,8 m,,8 m,The orientation of the transducer relative///OK///mahrs could not be used for heading corrections for,,narrowband,,narrowband
1601,VM-150 narrowband,VM-150,,,,2010-06-07 18:04:55.000000000,8 m,8 m,,8 m,The orientation of the transducer relative///OK///mahrs could not be used for heading corrections for,,narrowband,,narrowband
1602,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2008-12-31 15:56:40.999999996,8 m,8 m,30 deg.,8 m,"This cruise started in 2008 and ended in 2009.///The transducer is mounted in a well behind a///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///single pings are QC'ed then averaged///In August 2000, a sound velocity probe (SVP)",,,,
1603,Ocean Surveyer 38,OS-38,,38kHz narrowband,phased array///phased array///phased array///phased array///phased array///phased array///phased array,2008-12-31 15:56:52.000000000,16 m,24 m,30 degrees,24 m,"This cruise started in 2008 and ended in 2009.///phased array///DEPTH RANGE - Using UHDAS software for the os38 ,///single pings are QC'ed then averaged///The os38 temperature probe at the transducer is noisy. Temperature",,,narrowband,narrowband
1604,VM-150,VM-150,transducer SN 536; chassis SN 631,153.6 kHz,,2009-02-12 06:27:42.000000000,8 m,8 m,30 deg.,8 m,"The transducer is mounted in a well behind a///DEPTH RANGE - Using UHDAS software for the nb150 ,///BOTTOM TRACKING - Typically, bottom tracking is ON when in shallow water,///Single pings are QC'd then averaged to///In August 2000, a sound velocity probe (SVP)",,,,
